,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
1345,Mixpiqz,70,2,0,"September 19, 2017",Recommended,202.3,"Totally amazed by everything in this game! Great detail, awesome stories and fun battles. Been playing both solo and co-op, both ways are fun."
1346,Sir GristleMcThornbody,164,2,0,"September 19, 2017",Recommended,295.3,I can't even begin to say how good this game is. Just play it.
1347,WikiWikiWasp,312,2,0,January 12,Recommended,273.1,"The closest I've seen to the freedom of DnD put into a video game (even over the official DnD games...)  As an example of the freedom provided, here is an example quest you would encounter: There is an <enemy> you were sent to kill because he stole the <quest giver's> <item> and you are to return said item to the quest giver:  - receive objective and start quest - straight up complete quest the way it was asked of you - OR talk to someone the ""right"" way and learn info that complicates things - OR find evidence through explorations that complicates/benefits/hinders things - OR depending on what character you chose in the beginning, <quest giver> or <enemy> might have history with you and attack/help/trust/not trust/give additional quest/etc - OR you had already stumbled upon that <enemy> and killed him already so you get the reward - OR you had already stumbled upon that <enemy> and he gave you a quest to kill the <quest giver> before the <quest giver> could talk to you - OR you decide to lie to <quest giver> and say you killed <enemy> but he didn't have the item just to get a half reward - OR persuade <enemy> to just give you the item back and leave town/apologize/fake his death/etc - OR you kill <enemy> and tell <quest giver> that <enemy> didn't have the item on him and you keep the item for yourself - OR you sneak up and pickpocket <enemy> and take <item> without killing him and return the <quest giver> and return <item> (and/or lie about killing <enemy>) - OR you kill/steal from <enemy>, return <item> to <quest giver>, recieve reward, THEN pickpocket <quest giver> and take the item back for yourself - OR tell the guards that <enemy> stole and the guards will kill him for you  - OR lure <enemy> near the guards, get <enemy> to attack you, and have the guards finish him - OR teleport <enemy> to <quest giver> with a power you learned and get them to fight it out themselves - etc etc etc  That's just the options with this one scenario. There are many more diverse quests that you can use your imagination + character skills + game mechanics to solve in a way that seems natural, inventive, beneficial, or just fun. This is expounded when you add in the Game Master mode that essentially lets you control every aspect of the game (map, story, dialogue, enemies, items, encounters, hidden secrets, etc etc) and even dnd aspects like die rolls for choices/actions to allow literally whatever solution you can imagine.  I haven't even touched the diversity of combat or skills or items or interactivity of the world or the many different paths you can take in the game, but there are plenty of other reviews that go in depth on those.   By far my favorite rpg and can't wait for any additions/sequels. "
1348,Owning Duck,73,2,0,"November 2, 2017",Recommended,361.4,"This game is now my most favorite game, I played DOS twice, one playthrough by myself (150 hours) and one with my friend (60 hours). I can say that I really enjoyed the first game and was really looking forward to DOS 2. I'm almost 200 hours into it and I am not even done with the campaign. But being nearly done I think I can give a proper review.  Combat: So most people criticize the game for being turn-based rather than a real-time with pause function. But it feels right in place as the combat still feels so engaging. The combat is tougher since a lot of skills that you have, the enemies have as well. This makes the combat harder but also more rewarding once you get past it. The game is hard yet fair. There are fights that seem impossible but the game provides us with the tools to win or hides the tools within the world. A lot of the skills feel strong and useful. But towards the end game, I find that magic damage started to be more obsolete as it is much faster and easier to physical as that it the most reliable way to damage. Though that might be because my team consisted of 3 physical dealers and one wizard.  Story: This is by far my favorite part of the game. The story is rather simple yet done in a way that makes it compelling. And as someone who played the other Divinity games, there are a lot of surprising plot twists that I was surprised by. But where the game shines the most is the origin stories. You can either create your own character or choose one of 6 pre-made origin characters that have their own backgrounds. And and these stories are very well-written with equally well made characters. It is so interesting to see how much the game changes because of who you are. If you didn't pick an origin character, you can still recruit them but after a certain point, they will become unavaible. It is a rather intersting thing of being a side character to the origin character's stories though. And each origin chracter will have a personal quest which will result in some drastic endings. But some advice, do not play as Lohse. Not because she is bad, she is a great character with a one of my favorite stories. But Lohse is best when played as a companion and her personal ending yields the best reward a video game has ever given.  UI: I will be blunt about it, it's bad. Inventory management is a nightmare. Sadly it is also required in powering up your weapons in the end game. You will spend a long time in your inventory looking through it to find a single item. Crafting can be done through a seperate menu but most of the time you will be combing random stuff together and that is horrible. In the end game, you will have so much clutter mostly involving books and paper with no swift and reliable way to dispose of them.   Other Notes: The game has quite alot of bugs as well. The first area will be rather polished because it was in early access for a long time. But the game is large and some parts are even broken at times. But I would like to say that I have not faced a bug bad enough to take away from my enjoyment. The game is best played (in my opinion) with a roll with it attitude. Just accept mistakes that happen. It is really fun to see all my mistakes bite me in the♥♥♥♥♥later down the line. And before I forget, the soundtrack. It is a masterpiece. DOS 2 has a different composer from the past Divinity games (RIP Kirill) but the new composer has truly put his heart and soul into it and it is an absolute joy to listen to.   Just buy the game. Larian deserves all of the praise and hopefully they will make a console version so we all can share in the masterpiece that is Divinity Original Sin."
1349,Potatonuts,84,2,0,"September 20, 2017",Recommended,154.9,11/10 Best rpg in recent years Masterpiece for the wallet
1350,Thoradon,42,2,0,"September 13, 2017",Recommended,19.8,An RPG with more options then you could possibly get bored of.
1351,Necro Foxxo,196,2,0,"September 15, 2017",Recommended,21.5,"It's a wonderful game! The lore is rich, the characters are varied and interesting (from what I've seen in the beginning) and  random things happen without you thinking it would happen. My only problem is it seems to crash on the loading screen every once in a while. From what I have seen from Larian, I think they'll hammer out these bugs soon!"
1352,False Motive,143,2,0,"September 16, 2017",Recommended,43.2,BRUH GET THIS LIKE REAL QUICK!
1353,Ridiculous Primate,17,2,0,"October 30, 2017",Recommended,276.4,"This game is one of my favorites of all time now. The world is immersive and beautiful.  The battles are challenging yet rewarding.  I played through it on Tactician mode  out of the gate because I beat the first game on Tactician mode and figured I'd master this in no time too.  The difficulty was surprising at times.  But one thing that I really liked about the difficulty was that it didn't rely on RNG for everything.  There are a few RNG elements, but for the most part the fights are designed to be beaten by strategy and predicting what the enemies would do. The over arching story was pretty classic, but what made me really love it was the companion stories.  They were really interesting and I really loved them.  Some people on here have commented that the companions don't interact much, and while I would have loved for them to interact more than they did, I feel like their stories cross over a lot.  For example Sebille and the Red Prince's stories straight up merge near the end if you are playing with them both in the party. I would suggest taking Lohse in your party too, because her personal quest is one of the best. I know there are still some bugs, and those can be frustrating. I know it uses some classic tropes, but classic tropes are classic for a reason.  Sometimes when you try  to reinvent the wheel you end up making a block of rock. The game also does successfully reinvent the wheel at a few points. I played it all through tactician mode and felt it was a good difficulty considering I took the hardest option.  If you are playing a game on the hardest setting you should expect to have to fight some fights multiple times to master them, and it makes me so happy that I never felt like I was just flipping a coin to win a fight.  Every decision in fights matters a lot. It's not a perfect game, but no game has ever been perfect.  This game is pretty damn good though, and if they fixed the broken quests and bugs I would put it in my top 5 RPGs instantly.  My major complaint about this game is that there isn't more of it.  I can't wait for some DLC."
1354,Atara Mos,174,2,0,"September 15, 2017",Recommended,147.3,"I had played the prior game and was encouraged to pick this game up in Beta because of the promise of having more than just one friend join you. In the Beta alone I have over 30 hours of play time, and we barely got out of the first area. That isn't a bad thing at all! That is a testament to the variety of ways that you can do things. We wanted to try all the different classes, the different racial traits, the different talents. The addition of a single talent can entirely change how the story plays out, which dramatically increases replayability. You're presented with multiple ways to resolve your quests, and each are different and can have influence on multiple aspects of your character. Despite the 30+ hours in beta I still found entirely new things in release.  The story is rich and deep because of how so much of your character influences different interactions and what you find along the way. The combat being turn based is a lot more thoughtful than just running up and bashing your strongest skill, you can truly use the environment to your advantage, or accidentally screw yourself over with it if you aren't careful.  It really harkens back to the classic rpgs of the past in such a great way.  My only real critique is that the learning curve is sort of steep to start, camera movement isn't the most intuitive and takes a bit to figure out the finessing of it, as the tutorial is minimal. This can lead to some funny interactions, though, as you figure out that maybe red outlined things aren't the best thing to click on with others around."
1355,No Name Salted Butter,156,2,0,"September 15, 2017",Recommended,62.7,"Easily one of the best RPG's ever made.  To me it has a feel similar to the fable titles with the freedom you get (within reason) during a dungeon and dragons session.   The combat is tactical and challenging while also rewarding, the characters are interesting, the world is beautiful and fleshed out, and overall the game once it was fully released is polished and well worth the wait and money put into it.   The game master mode is also a welcomed addition, only adds to value of the game."
1356,NumbTongue,262,2,0,"September 13, 2017",Recommended,28.4,Possibly the very first game to truly mimick most of the best aspects of pen and paper D&D with it's unique Game Master Mode. I honestly can't wait to get a group together and play this.
1357,Mahebra,291,2,0,"September 13, 2017",Recommended,238.5,"Improves on the original in every way.  Original Sin 1 was probably one of the best CRPGs I had ever played to that date, and I could find little to no flaws with it, many of which were improved upon in the Enhanced Edition of the game.   Original Sin 2 somehow manages to take that mastercraft and make it even better, the new systems and mechanics implemented in such a way that I find it almost hard to return to the original. I have spent an absurd amount of time on the Early Access alone, and cannot believe the amount of variety and feasability to the different ways to approach each situation.   I was a bit taken back by the new changes to the armor system -- having physical and/or magical armor protects you (and your enemies) from those CC abilities, which made the first game a bit of a race to CC the enemies before they could do it to you. Original Sin 2 found a interesting way to handle that, and building your team and skillset to tackle this new problem has made the combat far more interesting and more satisfying, while not over complicating things. Instead of a party make-up being almost required, you're now a bit more free to experiment with your set up, and the changes to the skill system allows you to experiment more with being a hybrid build, instead of having to take a strict path in order to maximize gains.  This game seems far more friendly to newer players, while still keeping much of the spice and charm that I've come to expect and love from Larian, and this newest entry has done nothing but please and delight me."
1358,loved london in 1666,46,2,1,"October 25, 2017",Recommended,86.6,"So honestly i pirated this game for the first time, just to see it, I tried lots and lots of these type of games strategies and so. I could never get into it, it just never catch me, I've heard a lot of good reviews of this game but still not enough to risk and buy game i never loved genre of. So I pirated it and just fell in love in the first second. I clicked on the skull and hearrd my character  react, almost on everything, almost every single one. It took like few minutes I explored very first room, than I deleted illegal version and bought it. First I want to say that difficulty system is quiet♥♥♥♥♥♥ you have the first one, which is for completely noobs like me, but when I learnt some and wanted more competitive gameplay, the next difficulty was too hard, of course for people who had experience in genre. In other ways, the game is amazing, almost all quests you have TONS of possibilities to complete it, or to fail it, or to... avoid it? And when you understand it, in your very first hour, it wakes your curiousity, you start seeking every corner for gameplay pieces, dialogues, you start fast-saving to see all ways of conversations. I am wasting hours in this game, reading all books, my own journal, and still into it. The story is actually very obivious and classic for fantasy. If you read mass fantasy books, movies etc the story will be extremely predictable and boring, but that doesnt make game boring cause of reasons I mentioned above. By playing this game I learnt basics of this genre, and enjoyed already 20 with some hours and ready for much much more. Of course this game has big potention because of simple replayability, and mod support.  Overall I can rate this game on few fields: Story: 5/10 - It is REALLY typical, but still it has good telling Graphics: 7/10 - I know texture quality is not the first criteria rating strategy games, but still it is not very bad, but unlikely most cool texture quality games it looks really beautiful, bright and contrast perfectly balanced. It adds a big load of atmosphere. Gameplay: 10/10 - Basicly not because of this step-by-step, this gameplay actually never different a lot from other games in the genre, because of the variaty and the high quality in every single second in your gameplay, and you will see it, just as you jump in the game.  Buy it, really, you are wasting your time watching reviews or pirating just like i did."
1359,Julis,52,2,0,April 3,Recommended,103.2,"There is literally no reason to not buy this game. None, what so ever."
1360,Solci,421,2,0,"November 25, 2017",Recommended,66.3,"Great story, good combat system with a lot of combinations. Dificulty levels scales nicely from a easy walk to a very tatical and hard combat."
1361,Skumbag420,157,2,0,"June 2, 2017",Recommended,204.3,Divinity Original Sin 2 is the best RPG I have ever played.
1362,Kinerius,143,2,0,"October 23, 2017",Recommended,112.3,"Played 91 hours to reach what was likely the end of the game, where a bad dialogue option killed my character forever without letting me revive him, forcing me to load a save game 1 hour back into the game and start over again that super long fight. Whoever made this design choice is the real voidwoken. Alas the game is filled with this annoying stuff, you have to quicksave VERY often because of this.  In the end, its the best RPG i had ever played."
1363,Ebil,693,2,0,"November 25, 2017",Recommended,187.7,"I've played all the original games, this captures the feeling of the lore, while adding a whole new dimension to the gameplay. It feels like I'm playing D&D in a world I've been playing in for literally years.  I've got like 80+ hours, still haven't finished a single playthrough. And it has tons of replay value as well.   Incredible 10/10."
1364,GKMOOSE,257,2,0,"October 23, 2017",Recommended,81.0,Good Game
1365,[otc] Calvaclops,384,2,0,"November 25, 2017",Recommended,85.7,"This game is amazing, even outside of the bounds of its genre. The story is great and challenging, but the tools included are beyond amazing. They have given you everything you need to create entire worlds of your imagining and then play them with friend. One of the most amazing games I've ever seen."
1366,Pizza Dog,166,2,0,"October 23, 2017",Recommended,101.4,This is a beautiful game absolute masterpiece
1367,Valdyr the Hyena,544,2,0,"September 18, 2017",Recommended,45.9,More RPG developers should take notes from Larian and CDProjektRed.
1368,Kojo,68,2,0,April 10,Recommended,138.5,"This game is an amazing play. You can do actually anything you want to in it, there are hardly any restrictions to the way you play the game. For a classic RPG Fan, you will completely love this game."
1369,legen,238,2,0,"December 26, 2017",Recommended,240.9,Game of the year.
1370,DDL,401,2,0,"October 9, 2017",Recommended,109.7,"There is absolute no way you want to miss this fantastic game. The character progression, storytelling, combat and so on... is more than satisfying. I had a blast playing it through the 1st time and cant wait to do it again.  Play it. Love it. Repeat. "
1371,Andy Dwyer,656,2,0,"November 9, 2017",Recommended,74.5,"Probably the longest review I have ever written or will ever write, unless Original Sin 3 comes soon, SO, TL:DR; This has become my favorite game of all time. It's the best CRPG I've played since the old school ones, and then adds more mechanics and better story telling.   Pros: -Elemental Interactions -Companions so good I had a hard time picking who to bring in my party -Fun combat and mechanics -Excellent puzzle design for Acts I and II, and just really really good puzzle design in Act III.  -Compelling storyline, that ties in neatly with the other Divinity games, without requiring you to play them (though you should) -No microtransactions, season pass, loot boxes, etc.  -Able to respec your character as much as you want -Excellent skill management system -Excellent crafting systems -Excellent visuals in regard to spell effects and great art design -Excellent RPG elements, relative to character creation, talents, skills and tags -The music is off the charts for the most part -Great voice acting and sound design -Choices that actually matter during the story and change the story -Oddly descriptive ""intamacy"" scenes if you romance a character (is that a pro, maybe, it was well written) -Difficult enought that I was challenged and died plenty on the second highest difficulty, but never felt frustrated enough to quit or scum the game -Excellent game, because there's no other word I can use to describe it.   Cons: -Had a crashing issue during a few of the cut scenes between Acts -Music repeats a lot if you're repeatedly getting in and out of combat -Items like arrows and grenades get auto added to your hot bar, and I constantly had to clean it out for skills to be in the order I want, playing as a polymorph character I had a lot of skills appearing and disappearing between combat  Overall, you should play this game if you like turn based CRPGs, RPGs in general, turn based games, good games or even if you just want to support a great indie game dev. It reminded me of Dark Souls 1, where when I finished my first playthrough, I instantly made a new character, and started to play again with a completely different play style.  Update: you should also nominate and vote for this game whenever possible, so it can get some well deserved praise."
1372,Pix,209,2,0,"September 15, 2017",Recommended,103.9,"This is an excellent game. The negative reviews are down to rediculous expectations of language translations for almost 100,000 lines of voiced dialogue not being ready on release. Well worth a purchase!"
1373,NaCly,298,2,0,"September 18, 2017",Recommended,76.5,"Yes at the time of posting this review i am only 6.1 hours into it. I've also not made it past Fort Joy (the beginning right after the tutorial) yet as ive repeatedly restarted, playing around with different builds and such. But i am having a fantastic time with it. i havent enjoyed an RPG so much since Dragon Age Origins, nor have i wanted to smash my screen so much since initially discovering the Dark Souls games. I havent really played the first even though i own it so im not sure how it compares but i just might have to go play though it after this one.  Thank God for autosave, whether it be trying to survive an underground fight club at level 2-3 or dying to teleporting crocodiles, it has come in handy many times already.  I cant comment on the storyline so much yet as i havent really gotten into it yet but the origin stories seem interesting and custimization (even for origin characters) is fantastic.   In short if you enjoy RPG's and dont want to button smash your way to victory but actually use some strategy than this game is for you. You get a real feeling of accomplishment when you finally beat those ♥♥♥♥♥♥♥ teleporting crocodiles after 30-45 mins and 5-6 reloads.  Oh and graphics/optimization seem to be pretty great too, am running on max settings with no lag nor have come across any bugs as of yet although i still have a ways to go obviously.  ASUS ROG  Windows 10 I7-4710 HQ 24 GB RAM GTX 980m  "
1374,frgvn,456,2,0,"June 20, 2017",Recommended,42.0,Early on in the game I run into a little black cat that I quickly grow attached to. After exploring for a while with my new found furry friend I come across the gates of the main and a guard murders my wonderful companion. It was at this point that I decided that all magisters must die!
1375,Darth Pan,92,2,0,"August 25, 2017",Recommended,106.1,i love this game.
1376,Vince,219,2,0,"October 26, 2017",Recommended,96.0,"Great game. Beautiful game. Like DOS1, just many times better in every way."
1377,Latexglove,174,2,0,January 14,Recommended,345.1,"This game has a lot of bugs, but you hardly notice them with this amazing gameplay. I have the kind of fun that I felt when I was a child pulling all nighters over some games. This game is just pure fun."
1378,Kodyd194,224,2,0,"September 28, 2017",Recommended,216.7,"Divinity: Original Sin 2 is, hands down one of the best RPGs I have ever played, and I would recommend it to anyone who is a fan of RPGs, Turn based games, or Co-oP games. There is a lot to Original Sin 2, but my biggest hope is that the game gets even more content and updates post launch, its a great series and it deserves its praise."
1379,123,73,2,0,"September 28, 2017",Recommended,173.6,Only Played a little. So far 10\10
1380,KaeZer,30,2,1,January 25,Recommended,120.9,just buy the god damn game... its amazing.
1381,Geerterig,314,2,1,"October 11, 2017",Recommended,126.9,"Lemme tell you a story I experienced.  Arrive in a coastal town, pretty calm some magisters here and there. I enter the bar, and there's a guy offering me something. I find out it's hot steamy lizard sex, so, ofcourse, I pay him and go upstairs to the lizard lady. We have a very interesting night. But as soon as I wake up, I find that all my stuff is stolen. There's 5 guys in my room that I don't know. Suprised I ask the lizard lady what's going on, she says she's sorry, but this is a setup.  I get angry, you can't fool me, you can't set me up! Naked and without any weapons I attack the robbers, and I kill them all, taking the weapons of their body to finish of the rest, and using my magic to dish out even more damage. In the end, they all drop dead and I'm victorious. I talk to the lizard lady to ask what just happened, she admits they tried to rob me. The smooth-talker I am decide to forgive her, and say it was worth it for the night I had. She liked what I said, I continue talking to her, we end up having another sexy night. Me covered in blood and my enemies dead on the floor.   10/10, most fun I've ever had in an RPG. Definitely worth the purchase."
1382,zork,51,2,0,"October 1, 2017",Recommended,94.9,"This game is a masterpiece. Literally.  If someone would make a book out of this story, it would be a bestseller by far.  Far better than any other games I've played.  You get to know each character of your group and every actions you make WILL impact future quests.  I could talk hours and hours about that magnificient game, but I don't have time for that. I'd rather play this over and over and over again.  The Soundtrack is amazing, and after playing 80hrs, listening to any song brings nostalgia. Each time I log back on this game, I wish I havn't played it already to revive this awesome story.  If you play the game like it should be played and you actually care for the dialogs, which are f**cking awesome btw, there's between 60/80 hours of play time ahead.  11/10. Thanks for making this game. I hope there's another one upcoming."
1383,Luis,"2,122",2,0,"October 15, 2017",Recommended,238.6,"Absolutely incredible.  Basically feels like going from Baldur's Gate 1 to 2 (though not quite, since that was continuing from low level to midrange and then to epic levels with the same narrative, and this is not that), since the new armor system involves you either taking advantage or PEELING off layers of armor before you can actually do things.  Positioning and elemental manipulation are somehow even more important this time around. Fortunately, a lot of the difficult encounters are not initiated until you finish a dialog, so one has plenty of time to position  the party as one sees fit.  The original one was an amazing game that I spent hundreds of hours on, but never actually finished. This so far  is shaping up to be an even more impressive experience that I will revisit over and over.   That being said, it is slightly disappointing that the premade dwarf character has extremely little relevance to the plot until the 4th act, and then it is tangential. Oh well."
1384,jaxrobman,63,2,0,"October 17, 2017",Recommended,112.6,2017 Game of the year.
1385,GabRed,400,2,0,"September 6, 2017",Recommended,204.8,games pretty good a lot from when playing with friends can't wait for the game to come out
1386,Retsmar,187,2,0,"October 15, 2017",Recommended,219.7,"One of the absolute best games I've ever played, hands down. I can see no reason not to buy and love this game."
1387,Joey Petunia,131,2,0,"November 23, 2017",Recommended,366.9,"9.5/10  Game so good I would have been happy paying $60 for it, as if it was a triple A game."
1388,CL0WN_BABY,17,2,0,"September 16, 2017",Recommended,79.7,"first 10 hours and I can already tell it's one of my favorite games and especially one of the best RPGs I've played. I have never been a big fan of turn based games but this is amazing. I recommend reading PC gamers article about starting the game, it has helped me out a lot. do not try to rush through this game. take your time and explore everything. 10/10"
1389,Rajuta,47,2,0,"September 16, 2017",Recommended,180.9,"amazing, worth every penny. well done Larion, well done."
1390,kagemusha,107,2,0,"September 19, 2017",Recommended,111.0,Worst thing about this game is ... it ends.
1391,Darx,374,2,0,"September 20, 2017",Recommended,119.0,DAMN this baby has a lot of play time. im at 50 hrs and still in act 2. everything is fully voiced! and the companions are great and the combat is challenging. i didnt expect at all that they made such a good game.
1392,Sick,111,2,0,"September 15, 2017",Recommended,200.6,i played 70 hrs in early access it was that good. i own other games that i haven't played near that long that were the final product. the developers put a lot of love into the game.
1393,freeloss magnet,290,2,0,"September 18, 2017",Recommended,72.8,"Has some major flaws, but still a great RPG."
1394,rstrik,103,2,0,"September 19, 2017",Recommended,407.2,"Larian should teach Bioware how to make an actual sequel.  This game is everything and more the original was, unlike Dragon Age 2 and 3.  I logged 500+ hours into D:OS, fully expect this to be more of the same and yes that is great!"
1395,HolyHandGrenade,94,2,0,"September 19, 2017",Recommended,134.0,i love everything about this game
1396,traughdaddy,57,2,0,"September 18, 2017",Recommended,50.1,I haven't been this balls deep into a game since........... The Witcher 3. Seriously this is the game I've been looking for to fill the void that The Witcher left inside me. It's amazing and honestly the first time in a while I can say I lost track of time playing it. Buy it now 10/10
1397,Papa Watzke Sucks,375,2,0,"September 19, 2017",Recommended,120.0,Ultima 7 for the modern age. Absolutely stunning.  9/10
1398,Loub,81,2,1,"September 19, 2017",Recommended,207.2,"Most wonderful thing I've ever laid my hands upon - 10/10.  I have spent less than 24 hours outside of it since it released.  Please send help, this game is so ridiculously addictive and immersing I am neglecting my actual life."
1399,Whiskey Bingo,169,2,0,"September 14, 2017",Recommended,33.4,"It's an RTS, a TTRPG, and most importantly, it's different. This doesn't feel like other games in this genre, and the differences are the best parts."
1400,Wolfe,138,2,0,January 15,Recommended,85.5,"I hesitated more than I would like to admit when deciding to buy this game, however, when I finally gave in and bought it on a whim, I did not regret it. I haven't been able to stop playing it since I got it. I'm almost 60 hours in already and I haven't even gotten past Act 2.  For the money, this game is entirely worth it. It is, as per usual, always more fun with friends."
1401,Voodoo,231,2,1,"September 22, 2017",Recommended,141.9,"An absolutely stunning RPG, that took the mechanics of the first game (that were already incredibly fun) and somehow made them even better. Tons of customisation, tons of depth, some of the best RPG combat I have ever played, and a gripping and engaging story, that is paced to perfection.  Also you can be a bearded dwarf skeleton that turns people into chickens."
1402,Bloodyguy,327,2,0,"September 29, 2017",Recommended,94.1,It's great. I love what they went for and I love how it works. May they make amazing games forever and ever.
1403,Prykie1995,235,2,0,"December 16, 2017",Recommended,141.8,"Can't sing this game's praises high enough. I begrudgingly bought it, largely out of principle, having heard of it being brilliant and that it was independently developed and published, thinking that I might not like it or give up on it. But I didn't, and now i'm here telling you to buy it.  I started the game up and thought it felt too slow, too cumbersome and somewhat bloated, with just the first area taking near enough half an hour to an hour to fully explore and understand what's going on. It got even worse when I got to the next area. ""god this drags on"" I was thinking, ""when's the proper fighting and loot fest stuff gonna happen?"" I thought. In hindsight, I definitely didn't understand the pace of the game and the focus of it at all. After having put in over 50 hours I can now say that this game, for what i've played, is a masterpiece.   It shares similarities with games like diablo or torchlight, but with mechanics and design choices that make you consider every little move you make, this game manages to scratch at more and more layers of depth and forces you to explore options you wouldn't otherwise if not for the firm but fair difficulty. The AI is clever. It doesnt just bash at you with anything/everything, it picks and chooses what it needs to do to take you down. It picks off the weak, avoids the strong and weakens the immovable by using the environment and the creatures therein to it's advantage. For instance, there is a skill in the game that let's you kill an enemy if your character dies. Having cast this, the enemy's allies, themselves unaffected by this skill, will avoid killing your character but WILL proceed to weaken and immobilise you so that when it wears off they can take you down. They work things like this out and have clear strategic formations you need to counter.  It's one of the most rewarding experiences: coming into a fight fully unprepared, as the underdog, only to walk out the other side the victor. You know it was because YOU made the critical choices needed to win that battle against the odds and against a genuinely THINKING cpu opponent. It's fantastic.  The way the game feels to play when you're fully invested is unparralleled. There is an absolute deluge of content if you seek to complete it all and the way the game gives you utter freedom to do whatever you want/need/can do is both daunting and refreshing at the same time. The difficulty is fine tuned to perfection, where small mistakes can be cleverly worked around but rushing can easily get you killed.   Take your time, learn the ropes and think about each and every move as if it's your last, that's when the game is at it's best.    BUY IT"
1404,LegendaryCloudz,44,2,0,"November 27, 2017",Recommended,178.7,Best game of the year for sure!
1405,ChapsDungaroo,476,2,0,"September 15, 2017",Recommended,57.2,"An already well fleshed out Early Access game turns into a full release that far exceeds expectations. Beautiful environments, full voice acting (even the narrator has a voice), interesting skills to explore, GREAT combat. Larian has outdone themselves again."
1406,Town-Portal [Malte],227,2,0,"October 1, 2017",Recommended,86.5,"So far it gives me the good old Baldur's Gate feeling. I find it hard to stop playing, which is a rare feat these days. Will update this review when i have played some more, but so far... i feel this will become a classic.  EDIT: This is one of the best games i have ever played. The only reason i have not played 1000+ hours, is because i am older, and have less time.  The small amount of gaming time i have, i love to give to Divinity: Original Sin 2.   A masterpiece."
1407,F8ckIt,53,2,0,"September 5, 2017",Recommended,181.7,Best RPG ever! Simple as that.
1408,The_Tree_Witch,141,2,0,"September 16, 2017",Recommended,112.1,Great RPG! Stop looking at reviews already and buy it!
1409,ColdWolf,"1,027",2,0,"May 26, 2017",Recommended,238.9,"The single most detailed, challenging and fun cRPG I've ever played. Divinity: Original Sin 2 is not only a deep and meaningful game of tactics, exploration and puzzle solving, but also a master-class in dialogue and writing that shames Original Sin as if it were the work of a child in comparison.  Quests with meaningful choices and justifications, thought-out and deep skill combos that affect your playstyle and experience in combat, a surprisingly intriguing and not at all by-the-numbers story and absolutely NO handholding.  Everything that is great and wonderful about character driven RPGs is here and fleshed out,  I believe I've finally found the game that will let me retire from reinstalling Neverwinter Nights again for good. The only thing I wish they had done is let you roam the entire world like in Original Sin; the chapters are separate areas. They provide ample warning before you leave an area though, so it's not like it's a frustrating mechanic!  There have been complaints about the difficulty of not only the combat but also in solving the puzzles; If you're struggling to solve a puzzle it's because you haven't found all the clues; they're always there somewhere. if you can't beat a particular enemy because he's too strong you're gonna have to come back to him later. The game won't coddle you, you're supposed to learn how to defeat different enemy combinations through hard work and experimentation! The game is equal parts merciless and forgiving, enlightening and mystifying, challenging and fun.   A must-buy, and above all else; we must have a sequel, Larian!  The holiday is over, get back to work developer slaves!"
1410,Dremons,46,2,0,"December 24, 2017",Recommended,214.0,"Awesome game, stands taller than any other CRPG I've ever played. Choice making is a bit stiff at times, but overall Larian managed to surpass all my expectations. Turn based combat is also extremely satisfying."
1411,Macky,290,2,0,"November 27, 2017",Recommended,232.2,Oh my looord its good
1412,Stalking Stalker,58,2,0,"November 28, 2017",Recommended,178.3,Worst fps game of the year
1413,Rhett,328,2,0,"September 18, 2017",Recommended,158.6,"I can't recommend this game enough. Excellent voice acting, attention to detail, writing, gameplay and graphics. Fully co-opable story for up to 4 people. Game Master DND-esque mode for designing and playing your own adventures with a group of friends (4+). Editor for mods and making new areas (and mod support via workshop).  I don't normally get sucked into RPGs and their stories, but this one is special. Larian Studios has poured love into it, and it shows. There is also no unnecessary DRM. This is a game that shows (like The Witcher 3) that DRM doesn't need to happen if the content is unquestionably consumer-favored."
1414,- DI - Blue Kat,189,2,0,"September 22, 2017",Recommended,80.9,"I didn't expect myself thinking this, but Original Sin 2 is even better than its predecessor. More Larian goodness, this time with a more gripping initial 15 hours. The writing and quest design is impeccable once again, or even better. There is real weight to this game, you can't help but be fascinated by this game world. It is a feeling I can only compare to that I had with Dark souls 3 recently. The game treats you like an adult and does not make cheap attempts to please you.  What can I say. This is my RPG of the year. Thank you Larian studios for reinvigorating me!"
1415,Bronze ShiTTer : ^ ),100,2,0,January 8,Recommended,53.9,Great Game
1416,M-Dog,137,2,0,"November 25, 2017",Recommended,9.3,"Amazing from what I’ve played so far, combat feels fluid and great artistic presentation, well written and fun characters, controller integration is excellent for the style of game, only con so far is too much fire in combat other than that is great"
1417,Pixel Ssh(ado),299,2,0,"September 28, 2017",Recommended,97.9,This is the perfect RPG which gamers have been dreaming about for as long as they've been in production.
1418,EnfernO,63,2,0,"October 7, 2017",Recommended,75.8,"Best RPG I've played this year.  And not even my style that I would normally be into.  Great depth, customization, story, and gameplay."
1419,Counter-Strike Jesus,48,2,0,"November 13, 2017",Recommended,255.8,10/10 game to play with the misses!
1420,Jon Bippy [TSC],96,2,1,April 5,Recommended,84.4,get set on fire: the game
